feature,importance
EMERGENCYSTATE_MODE,0.062461942
FLAG_PHONE,0.06081824
REG_CITY_NOT_WORK_CITY,0.058859434
FLAG_OWN_CAR,0.057066273
FLAG_DOCUMENT_3,0.05492067
REGION_RATING_CLIENT,0.048900753
ADDRESS_MISMATCH,0.04614941
NAME_EDUCATION_TYPE,0.044845663
FLAG_OWN_REALTY,0.043880295
CODE_GENDER,0.041199375
OBS_30_CNT_SOCIAL_CIRCLE,0.035274614
NAME_INCOME_TYPE,0.035127573
EXT_SOURCE_MEAN,0.032673873
DAYS_EMPLOYED_ANOM,0.03112225
FLAG_WORK_PHONE,0.029957412
EXT_SOURCE_MIN,0.028991172
OCCUPATION_TYPE,0.024306005
FLOORSMAX_MODE,0.020245396
REGION_RATING_CLIENT_W_CITY,0.018859066
AMT_REQ_CREDIT_BUREAU_QRT,0.01868244
AMT_REQ_CREDIT_BUREAU_YEAR,0.016386379
REG_CITY_NOT_LIVE_CITY,0.016061625
DEF_30_CNT_SOCIAL_CIRCLE,0.014984005
AMT_REQ_CREDIT_BUREAU_MON,0.013647233
EXT_SOURCE_MAX,0.011875295
NAME_TYPE_SUITE,0.009365578
WEEKDAY_APPR_PROCESS_START,0.009196185
NAME_HOUSING_TYPE,0.0073319282
NAME_FAMILY_STATUS,0.007132011
CONTACT_COUNT,0.0068511926
FLAG_EMP_PHONE,0.0065358398
EXT_SOURCE_3,0.006326202
OBS_60_CNT_SOCIAL_CIRCLE,0.005912315
EMPLOYMENT_YEARS,0.0038449245
DEF_60_CNT_SOCIAL_CIRCLE,0.0032025557
FLAG_DOCUMENT_6,0.0030691396
ID_PUBLISH_YEARS,0.0027785157
DOC_COUNT,0.002721514
AGE_YEARS,0.002646772
GOODS_CREDIT_RATIO,0.0026026906
FLOORSMAX_AVG,0.0024527106
REG_REGION_NOT_LIVE_REGION,0.0023718998
CREDIT_ANNUITY_RATIO,0.002344739
FLAG_EMAIL,0.00226071
HOUR_APPR_PROCESS_START,0.0021181135
NAME_CONTRACT_TYPE,0.0019242873
EXT_SOURCE_2,0.0019150582
AMT_GOODS_PRICE,0.0018645742
FLOORSMAX_MEDI,0.0017199134
ORGANIZATION_TYPE,0.0017062202
AMT_ANNUITY,0.0015349559
YEARS_BEGINEXPLUATATION_MEDI,0.0014750443
AMT_REQ_CREDIT_BUREAU_WEEK,0.0014173407
REGION_POPULATION_RELATIVE,0.0014068222
DAYS_LAST_PHONE_CHANGE,0.0013964161
REGISTRATION_YEARS,0.0013185062
DAYS_EMPLOYED,0.0012551001
YEARS_BEGINEXPLUATATION_AVG,0.0011950816
AMT_CREDIT,0.0011703124
DAYS_BIRTH,0.0011579507
CREDIT_INCOME_RATIO,0.0011373312
EMPLOYMENT_AGE_RATIO,0.0011268647
YEARS_BEGINEXPLUATATION_MODE,0.0011154531
FLAG_DOCUMENT_8,0.0010760557
ANNUITY_INCOME_RATIO,0.0010012331
FLAG_DOCUMENT_9,0.0009824244
LIVE_REGION_NOT_WORK_REGION,0.00088922976
FLAG_DOCUMENT_7,0.0008704565
CNT_FAM_MEMBERS,0.0007352383
DAYS_ID_PUBLISH,0.0007338846
LIVE_CITY_NOT_WORK_CITY,0.0007071589
FLAG_DOCUMENT_11,0.0006924384
FLAG_DOCUMENT_14,0.00068672316
INCOME_PER_CHILD,0.0006646571
INCOME_PER_PERSON,0.0006593281
REG_REGION_NOT_WORK_REGION,0.00064871326
EXT_SOURCE_STD,0.00063145225
AMT_INCOME_TOTAL,0.00062568404
AMT_REQ_CREDIT_BUREAU_HOUR,0.00062507455
TOTALAREA_MODE,0.00061953993
FLAG_DOCUMENT_21,0.00061548647
DAYS_REGISTRATION,0.0006134886
AMT_REQ_CREDIT_BUREAU_DAY,0.0006115554
CNT_CHILDREN,0.0005388652
FLAG_DOCUMENT_5,0.00041295448
FLAG_CONT_MOBILE,0.00015917732
FLAG_MOBIL,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_13,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_18,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_16,0.0
